stationID,startTime,endTime,input_real,output_real,input_model_1,output_model_1,input_model_2,output_model_2,input_model_3,output_model_3,input_model_4,output_model_4,input_model_5,output_model_5
0,1/29/2019 0:00,1/29/2019 0:10,,,,,,,,,,,,
0,1/29/2019 0:10,1/29/2019 0:20,,,,,,,,,,,,
0,1/29/2019 0:20,1/29/2019 0:30,,,,,,,,,,,,
0,1/29/2019 0:30,1/29/2019 0:40,,,,,,,,,,,,
0,1/29/2019 0:40,1/29/2019 0:50,,,,,,,,,,,,
0,1/29/2019 0:50,1/29/2019 1:00,,,,,,,,,,,,
0,1/29/2019 1:00,1/29/2019 1:10,,,,,,,,,,,,
0,1/29/2019 1:10,1/29/2019 1:20,,,,,,,,,,,,
0,1/29/2019 1:20,1/29/2019 1:30,,,,,,,,,,,,
0,1/29/2019 1:30,1/29/2019 1:40,,,,,,,,,,,,
0,1/29/2019 1:40,1/29/2019 1:50,,,,,,,,,,,,
0,1/29/2019 1:50,1/29/2019 2:00,,,,,,,,,,,,
0,1/29/2019 2:00,1/29/2019 2:10,,,,,,,,,,,,
0,1/29/2019 2:10,1/29/2019 2:20,,,,,,,,,,,,
0,1/29/2019 2:20,1/29/2019 2:30,,,,,,,,,,,,
0,1/29/2019 2:30,1/29/2019 2:40,,,,,,,,,,,,
0,1/29/2019 2:40,1/29/2019 2:50,,,,,,,,,,,,
0,1/29/2019 2:50,1/29/2019 3:00,,,,,,,,,,,,
0,1/29/2019 3:00,1/29/2019 3:10,,,,,,,,,,,,
0,1/29/2019 3:10,1/29/2019 3:20,,,,,,,,,,,,
0,1/29/2019 3:20,1/29/2019 3:30,,,,,,,,,,,,
0,1/29/2019 3:30,1/29/2019 3:40,,,,,,,,,,,,
0,1/29/2019 3:40,1/29/2019 3:50,,,,,,,,,,,,
0,1/29/2019 3:50,1/29/2019 4:00,,,,,,,,,,,,
0,1/29/2019 4:00,1/29/2019 4:10,,,,,,,,,,,,
0,1/29/2019 4:10,1/29/2019 4:20,,,,,,,,,,,,
0,1/29/2019 4:20,1/29/2019 4:30,,,,,,,,,,,,
0,1/29/2019 4:30,1/29/2019 4:40,,,,,,,,,,,,
0,1/29/2019 4:40,1/29/2019 4:50,,,,,,,,,,,,
0,1/29/2019 4:50,1/29/2019 5:00,,,,,,,,,,,,
0,1/29/2019 5:00,1/29/2019 5:10,,,,,,,,,,,,
0,1/29/2019 5:10,1/29/2019 5:20,,,,,,,,,,,,
0,1/29/2019 5:20,1/29/2019 5:30,,,,,,,,,,,,
0,1/29/2019 5:30,1/29/2019 5:40,,,,,,,,,,,,
0,1/29/2019 5:40,1/29/2019 5:50,,,,,,,,,,,,
0,1/29/2019 5:50,1/29/2019 6:00,,,,,,,,,,,,
0,1/29/2019 6:00,1/29/2019 6:10,,,,,,,,,,,,
0,1/29/2019 6:10,1/29/2019 6:20,,,,,,,,,,,,
0,1/29/2019 6:20,1/29/2019 6:30,,,,,,,,,,,,
0,1/29/2019 6:30,1/29/2019 6:40,,,,,,,,,,,,
0,1/29/2019 6:40,1/29/2019 6:50,,,,,,,,,,,,
0,1/29/2019 6:50,1/29/2019 7:00,,,,,,,,,,,,
0,1/29/2019 7:00,1/29/2019 7:10,,,,,,,,,,,,
0,1/29/2019 7:10,1/29/2019 7:20,,,,,,,,,,,,
0,1/29/2019 7:20,1/29/2019 7:30,,,,,,,,,,,,
0,1/29/2019 7:30,1/29/2019 7:40,,,,,,,,,,,,
0,1/29/2019 7:40,1/29/2019 7:50,,,,,,,,,,,,
0,1/29/2019 7:50,1/29/2019 8:00,,,,,,,,,,,,
0,1/29/2019 8:00,1/29/2019 8:10,,,,,,,,,,,,
0,1/29/2019 8:10,1/29/2019 8:20,,,,,,,,,,,,
0,1/29/2019 8:20,1/29/2019 8:30,,,,,,,,,,,,
0,1/29/2019 8:30,1/29/2019 8:40,,,,,,,,,,,,
0,1/29/2019 8:40,1/29/2019 8:50,,,,,,,,,,,,
0,1/29/2019 8:50,1/29/2019 9:00,,,,,,,,,,,,
0,1/29/2019 9:00,1/29/2019 9:10,,,,,,,,,,,,
0,1/29/2019 9:10,1/29/2019 9:20,,,,,,,,,,,,
0,1/29/2019 9:20,1/29/2019 9:30,,,,,,,,,,,,
0,1/29/2019 9:30,1/29/2019 9:40,,,,,,,,,,,,
0,1/29/2019 9:40,1/29/2019 9:50,,,,,,,,,,,,
0,1/29/2019 9:50,1/29/2019 10:00,,,,,,,,,,,,
0,1/29/2019 10:00,1/29/2019 10:10,,,,,,,,,,,,
0,1/29/2019 10:10,1/29/2019 10:20,,,,,,,,,,,,
0,1/29/2019 10:20,1/29/2019 10:30,,,,,,,,,,,,
0,1/29/2019 10:30,1/29/2019 10:40,,,,,,,,,,,,
0,1/29/2019 10:40,1/29/2019 10:50,,,,,,,,,,,,
0,1/29/2019 10:50,1/29/2019 11:00,,,,,,,,,,,,
0,1/29/2019 11:00,1/29/2019 11:10,,,,,,,,,,,,
0,1/29/2019 11:10,1/29/2019 11:20,,,,,,,,,,,,
0,1/29/2019 11:20,1/29/2019 11:30,,,,,,,,,,,,
0,1/29/2019 11:30,1/29/2019 11:40,,,,,,,,,,,,
0,1/29/2019 11:40,1/29/2019 11:50,,,,,,,,,,,,
0,1/29/2019 11:50,1/29/2019 12:00,,,,,,,,,,,,
0,1/29/2019 12:00,1/29/2019 12:10,,,,,,,,,,,,
0,1/29/2019 12:10,1/29/2019 12:20,,,,,,,,,,,,
0,1/29/2019 12:20,1/29/2019 12:30,,,,,,,,,,,,
0,1/29/2019 12:30,1/29/2019 12:40,,,,,,,,,,,,
0,1/29/2019 12:40,1/29/2019 12:50,,,,,,,,,,,,
0,1/29/2019 12:50,1/29/2019 13:00,,,,,,,,,,,,
0,1/29/2019 13:00,1/29/2019 13:10,,,,,,,,,,,,
0,1/29/2019 13:10,1/29/2019 13:20,,,,,,,,,,,,
0,1/29/2019 13:20,1/29/2019 13:30,,,,,,,,,,,,
0,1/29/2019 13:30,1/29/2019 13:40,,,,,,,,,,,,
0,1/29/2019 13:40,1/29/2019 13:50,,,,,,,,,,,,
0,1/29/2019 13:50,1/29/2019 14:00,,,,,,,,,,,,
0,1/29/2019 14:00,1/29/2019 14:10,,,,,,,,,,,,
0,1/29/2019 14:10,1/29/2019 14:20,,,,,,,,,,,,
0,1/29/2019 14:20,1/29/2019 14:30,,,,,,,,,,,,
0,1/29/2019 14:30,1/29/2019 14:40,,,,,,,,,,,,
0,1/29/2019 14:40,1/29/2019 14:50,,,,,,,,,,,,
0,1/29/2019 14:50,1/29/2019 15:00,,,,,,,,,,,,
0,1/29/2019 15:00,1/29/2019 15:10,,,,,,,,,,,,
0,1/29/2019 15:10,1/29/2019 15:20,,,,,,,,,,,,
0,1/29/2019 15:20,1/29/2019 15:30,,,,,,,,,,,,
